ID,Name
0,1n
1,Aardvark
2,Axe
3,Belly-Chameleon
4,Bird-Flying
5,Bird-Side
6,Bling-Anchor
7,Bling-Anvil
8,Bling-Arrow
9,Bling-Cheese
10,Bling-Gold-Ingot
11,Bling-Love
12,Bling-Mask
13,Bling-Rings
14,Bling-Scissors
15,Bling-Sparkles
16,Body-Gradient-Checkerdisco
17,Body-Gradient-Dawn
18,Body-Gradient-Dusk
19,Body-Gradient-Glacier
20,Body-Gradient-Ice
21,Body-Gradient-Pride
22,Body-Gradient-Redpink
23,Body-Gradient-Sunset
24,Carrot
25,Chain-Logo
26,Checker-Rgb
27,Checker-Bigwalk-Blue-Prime
28,Checker-Bigwalk-Greylight
29,Checker-Bigwalk-Rainbow
30,Checker-Spaced-Black
31,Checker-Spaced-White
32,Checker-Vibrant
33,Checkers-Big-Green
34,Checkers-Big-Red-Cold
35,Checkers-Black
36,Checkers-Blue
37,Checkers-Magenta-80
38,Chicken
39,Cloud
40,Clover
41,Collar-Sunset
42,Cow
43,Decay-Gray-Dark
44,Decay-Pride
45,Dinosaur
46,Dollar-Bling
47,Dragon
48,Ducky
49,Eth
50,Eye
51,Flash
52,Fries
53,Glasses-Logo-Sun
54,Glasses-Logo
55,Glasses
56,Grid-Simple-Bege
57,Heart
58,Hoodiestrings-Uneven
59,Id
60,Infinity
61,Insignia
62,Leaf
63,Lightbulb
64,Lines-45-Greens
65,Lines-45-Rose
66,Lp
67,Marsface
68,Matrix-White
69,Moon-Block
70,None
71,Oldshirt
72,Pizza-Bling
73,Pocket-Pencil
74,Rain
75,Rainbow-Steps
76,Rgb
77,Robot
78,Safety-Vest
79,Scarf-Clown
80,Secret-X
81,Shirt-Black
82,Shrimp
83,Slimesplat
84,Small-Bling
85,Snowflake
86,Stains-Blood
87,Stains-Zombie
88,Stripes-And-Checks
89,Stripes-Big-Red
90,Stripes-Blit
91,Stripes-Blue-Med
92,Stripes-Brown
93,Stripes-Olive
94,Stripes-Red-Cold
95,Sunset
96,Taxi-Checkers
97,Tee-Yo
98,Text-Yolo
99,Think
100,Tie-Black-On-White
101,Tie-Dye
102,Tie-Purple-On-White
103,Tie-Red
104,Txt-A2+B2
105,Txt-Cc
106,Txt-Cc2
107,Txt-Copy
108,Txt-Dao-Black
109,Txt-Doom
110,Txt-Dope-Text
111,Txt-Foo-Black
112,Txt-Ico
113,Txt-Io
114,Txt-Lmao
115,Txt-Lol
116,Txt-Mint
117,Txt-Nil-Grey-Dark
118,Txt-Noun-F0F
119,Txt-Noun-Green
120,Txt-Noun-Multicolor
121,Txt-Noun
122,Txt-Pi
123,Txt-Pop
124,Txt-Rofl
125,Txt-We
126,Txt-Yay
127,Wall
128,Wave
129,Wet-Money
130,Woolweave-Bicolor
131,Woolweave-Dirt
132,Yingyang
133,Body-Bege
134,Body-Gray-Scale-1
135,Body-Gray-Scale-9
136,Body-Ice-Cold
137,Grease
138,Tatewaku
139,Uroko
